100 4950
66 58 9.500
 4  1 0.231
47 40 5.139
63 15 5.624
85 27 2.688
87 60 1.863
50 12 1.596
19 17 5.151
97 65 5.052
73 30 7.151
41  4 3.016
61 10 7.601
53 39 1.091
76 46 7.628
80 21 2.205
35 32 1.867
18 16 7.510
70 14 8.023
40 18 1.077
96 29 5.563
65  5 3.987
64 24 8.027
40 10 6.056
93 42 6.687
93 57 7.879
31 19 7.548
58 27 9.320
83 37 8.733
42 28 9.426
59 38 3.485
61 17 6.747
59 13 9.151
95 71 5.180
42 31 5.709
44 42 7.101
98 38 0.445
68 60 8.187
86  4 1.974
30  8 7.215
47 17 5.120
75 74 2.723
57 47 8.110
97 86 7.344
77 16 2.024
35 34 5.548
53 36 5.145
39  4 0.237
85  1 4.883
87  6 6.221
91 76 7.203
41  8 4.458
66 14 10.069
89 39 8.186
46 15 9.957
81 15 5.819
54 53 5.399
82 78 3.816
56 46 8.729
97 10 9.220
50  6 7.669
83 67 3.736
38 16 1.345
67 44 2.924
80 46 0.899
29 25 5.208
72 20 6.620
51  0 1.441
62 10 0.538
77 14 1.753
99 75 0.264
20  9 4.534
52 43 1.063
56  8 6.538
46 13 2.578
79 78 1.408
84 77 7.763
73 58 0.218
28  1 5.193
40 13 2.237
82 66 4.077
58 33 5.415
91 48 6.814
97 39 2.996
86 75 9.621
17 12 2.917
86 32 9.275
58 48 8.949
89 37 8.543
42 11 0.792
80  6 7.080
38 30 4.854
90 33 9.437
43 22 3.553
43 24 2.874
40  1 8.395
66 49 3.031
93 72 1.192
71 40 9.759
75 64 6.461
30 14 5.997
67 40 0.655
84 21 6.464
99  6 4.516
60 37 6.994
35  6 7.993
52 12 1.876
99 76 2.775
91 23 0.347
86 64 7.799
87 50 0.791
98 84 2.361
93 88 2.890
80 22 0.863
95 13 9.010
89 79 4.708
78 15 3.745
92 46 9.957
40 28 4.436
57 44 2.946
71 65 7.445
63 43 3.698
54  2 4.622
94 16 7.163
56 34 3.792
90 60 3.963
43 42 5.853
92  6 4.983
55 33 5.342
18 15 1.555
61 48 1.405
62 61 0.435
92 40 1.743
96 12 0.595
51 42 4.612
76 36 7.074
58  4 6.678
69 63 7.825
86 29 3.846
81 80 1.060
26 10 2.796
94 91 5.588
85  8 9.033
67 35 1.271
42 36 2.133
65 25 3.447
 3  1 3.485
74 42 3.602
75 43 2.450
26 17 3.256
63  9 4.881
71 60 8.144
93 14 3.991
86 54 9.667
86 37 9.184
91 77 8.582
49 43 7.076
58 50 8.907
98 24 0.682
38 31 8.977
33 12 2.731
95 33 7.246
35  5 7.328
86 33 4.219
85 29 7.782
36  9 6.636
99 22 3.885
46 24 0.101
51  5 1.299
70 31 3.263
55 11 7.970
84 78 8.480
76 14 7.480
84 57 6.206
32 25 6.671
56 55 9.270
96 37 6.350
94 43 2.515
77 47 4.825
71 27 3.849
90 56 3.876
90 18 6.147
38 20 2.069
77 76 8.832
88 86 6.211
86 55 6.489
10  5 9.751
44 43 1.054
62 56 4.166
67  7 4.393
94 36 4.162
96 44 2.201
77 67 3.470
85 48 6.067
94 56 3.439
61  2 7.835
46  1 5.339
73 28 8.409
96 32 1.320
46 35 5.655
99  7 5.352
65 31 1.574
53  0 7.285
85 61 9.383
73 48 9.121
62  9 7.776
62 42 0.253
47 26 8.334
91 65 5.799
27 20 6.776
61  8 2.860
34  9 8.010
95 58 5.545
21  3 0.905
48 31 4.428
60  6 1.456
94 28 0.762
70 22 4.433
46 31 4.736
57 21 0.473
94 82 9.979
 9  1 3.683
43  1 4.926
87 63 2.697
43  6 7.038
71 68 0.750
55 16 3.569
93 30 8.591
90 47 4.989
99 94 3.621
62  4 4.748
72  1 8.536
86 52 1.411
64 10 6.628
96 53 0.752
66 15 3.233
21 12 3.225
40 30 2.548
61  0 2.966
25  2 6.371
91 55 2.245
94 23 1.287
25  3 4.003
45 41 5.419
30 12 4.119
76  9 3.267
66 61 3.011
30 27 2.854
88 12 2.634
85 84 5.212
39  2 1.887
78 72 0.531
89 29 9.993
90 35 2.602
61 33 2.152
89 71 3.639
25 16 3.535
31  7 8.716
89 53 2.191
74 45 3.088
94 58 1.361
44 13 3.282
91  1 0.165
26  0 6.599
77 57 5.323
25  8 3.930
49 26 5.238
47 42 3.744
52  9 1.092
77 51 9.512
83 47 3.205
96  9 5.196
81  8 2.706
79 77 9.102
64 18 1.732
60 35 4.350
68 17 8.145
91 33 9.636
63 27 3.224
94 21 0.437
89 85 4.570
90 43 3.302
92 86 3.130
58 54 6.965
26  2 2.072
52 47 1.131
31 17 8.777
82  5 0.222
97 17 0.611
81 12 8.678
65 30 5.460
50 15 1.819
60  3 0.592
83 69 0.469
70 49 3.477
90 36 9.109
58 17 5.641
31 24 5.220
90 85 3.467
66 13 8.342
51 45 8.006
78 11 8.438
76 30 5.819
98 13 2.104
26  3 6.653
85  3 3.099
94 93 3.345
45 10 1.261
94 72 9.317
90 40 8.640
81 54 5.917
81 14 2.102
73 59 1.038
39 19 7.848
78 68 5.586
62  0 8.136
67  6 6.694
77 49 5.796
93 60 4.487
35 12 3.036
99 27 6.391
92 45 2.263
67 25 9.508
90 84 7.016
55 10 4.378
72 13 5.354
86 72 2.949
62 34 3.420
52 45 8.950
52 30 3.003
76 55 7.984
67 33 5.996
67 54 9.778
98 96 8.363
89  1 7.762
46 37 1.292
97 45 1.600
25  1 10.025
16 12 6.601
46 28 1.234
55 20 7.360
61 23 1.404
92  1 2.527
97  3 9.595
26  8 4.337
64 54 7.637
97 36 5.484
48  8 3.550
22 11 8.210
 9  2 2.492
47 43 1.340
82 15 4.031
37 20 2.088
84 19 10.049
62 57 1.110
61  5 6.578
98 18 9.053
30 15 7.792
51 33 2.468
65  9 2.149
84 17 5.264
86 49 5.563
20  6 3.880
88 43 3.046
57 14 8.391
65 18 1.233
30 18 4.176
59 53 7.251
37  7 9.720
56 24 2.495
97 26 0.579
87 74 8.962
90 39 10.024
35  2 3.574
45 44 9.250
77 28 0.910
11  0 8.700
53 15 0.968
81 30 9.723
45 35 3.485
82 77 4.669
33 29 7.631
67 59 0.973
36 31 3.112
72 55 7.058
51 43 4.907
41  0 6.688
65 62 6.448
75 21 5.000
56  2 6.662
86  9 0.707
59  5 1.633
22  3 0.913
64 47 1.109
57 38 7.054
60 39 0.838
24  4 5.346
86 53 5.203
29  2 1.725
55  9 7.235
65 32 5.017
83 70 2.149
48 40 0.230
89 31 9.129
87 37 1.920
59  7 9.698
49  5 4.192
84 48 7.599
64 39 3.805
97 20 6.955
81  4 2.333
33  6 7.091
88 42 2.778
83 62 6.815
34  0 3.335
46 14 3.580
96 63 5.041
46  6 6.913
21  4 1.736
74 23 0.929
 6  4 4.670
76 24 3.306
67 51 9.729
91 71 3.948
77 30 5.365
23 20 9.919
83  7 4.626
37  4 1.328
97  2 3.222
20 13 0.934
84 26 3.506
87 55 1.133
83 79 0.871
63 52 3.937
94 50 6.729
69 31 2.306
78 70 4.813
37 13 2.742
91 13 4.591
67 56 8.213
96  7 6.699
87 77 4.750
47 15 9.542
38 21 7.860
34 30 6.707
48 16 9.811
48  1 7.956
48  2 3.571
67 60 0.470
56 51 1.603
90 24 9.298
77  7 7.126
93 24 1.035
86  8 1.311
84  5 4.488
92 26 3.082
37 30 3.184
37  2 5.855
68 34 0.513
54 51 0.729
82  1 9.229
49 12 6.552
46 29 4.126
78 32 0.138
78 51 6.710
99 71 7.160
99 46 7.939
85 20 3.278
90 64 1.191
61 18 8.365
39 11 3.281
88 47 0.238
80 49 5.439
99 55 2.535
88  6 9.523
98 57 2.279
39  7 2.698
84 82 1.089
54 39 1.441
77 71 3.561
69 24 10.032
75 69 3.916
95 70 8.996
65 33 4.813
30 26 7.366
87 61 2.497
61 53 6.678
70 47 1.937
55 12 3.097
78 50 8.924
91 84 5.900
80 14 2.017
71 32 7.391
96  6 6.644
59 41 0.210
16  5 8.418
22 18 7.371
89 21 3.213
98 62 7.144
86 26 8.018
53 41 9.470
84 68 2.728
32 17 7.394
95 61 0.189
88 62 7.834
40  2 9.233
65 59 4.556
97 74 6.463
44 28 7.798
53 25 5.056
24  1 5.893
39 21 4.955
29  5 6.312
84 59 7.292
27 12 5.210
73  5 2.778
88 28 6.968
27 17 5.540
81 33 5.537
66 52 1.955
63 48 7.152
77 75 8.469
99 81 1.576
37  0 1.814
45 29 7.385
94 10 1.645
25  9 2.639
29 20 7.148
76 75 6.540
20  7 8.899
33 11 4.096
64  6 0.120
73 69 3.824
47 21 9.329
63  0 8.753
95 60 2.472
61  4 7.896
74 18 9.858
43 41 5.852
59 11 9.554
92  7 2.981
98 26 2.932
73 64 9.365
94  9 9.497
86 62 7.769
38 15 9.477
 6  5 3.212
89  0 3.175
72 29 4.328
49  6 0.336
84 15 9.313
80 68 3.852
93 10 8.263
59 45 4.224
58 21 7.328
55 15 0.730
12  1 6.245
53 46 7.386
92 50 3.032
39 35 4.893
74 70 7.434
25 17 9.686
91 70 2.689
98 20 2.527
56  5 5.783
49 23 2.592
96 71 8.698
91 49 5.015
88 39 2.513
71 69 4.005
76 54 6.006
77  2 6.824
65 51 5.853
91  2 9.761
40 23 3.418
34  7 3.584
73  0 6.766
74 71 9.204
41 28 4.324
39 28 4.651
25 11 2.601
66 36 1.358
70 56 9.436
 7  2 0.351
52 21 6.505
59 22 7.927
12  2 8.342
83 78 5.485
91 85 6.142
65 52 3.445
89 80 9.281
99 47 2.698
66 42 9.057
98 16 6.266
66 54 7.109
46 21 4.663
45 40 6.192
87 12 7.205
97 14 6.140
92 67 6.944
64 41 0.631
97 61 9.584
69 28 8.591
84 33 2.236
70 61 6.138
61 19 2.930
78 60 7.330
81  3 6.556
47  7 8.567
75 22 4.803
97 80 6.478
93 90 5.180
98 63 6.024
79 69 4.081
64 34 8.731
67 38 1.849
 8  7 9.568
58 38 6.490
87 71 0.825
80 47 6.027
67 63 4.480
96 93 5.183
98 95 0.410
71  6 6.028
67 26 1.859
89 27 1.539
36  1 4.124
90 61 0.253
86 41 8.705
77  5 8.451
56 15 3.496
76 67 5.526
76 19 7.375
46 16 4.855
24 16 5.206
48 43 7.728
99 43 6.732
89 57 2.074
21 16 4.728
74 22 9.490
52 36 2.993
72  7 9.782
76 52 5.769
22  5 8.279
93 46 1.710
70 21 9.185
45  5 4.882
99  3 1.752
95  3 7.306
79 53 0.719
61 35 7.151
96 38 0.891
94 77 9.304
23 15 1.935
30 20 9.284
50  4 3.445
58 36 9.369
92 24 2.819
13  2 8.458
52  3 9.367
85 11 8.778
30 24 5.601
92 73 2.327
42  7 3.422
68 10 9.775
54 22 3.333
74 54 0.702
98 64 2.187
39 25 1.457
93 11 5.170
70 45 9.083
77 19 3.428
 6  2 6.938
70 29 2.673
85 70 8.175
73 65 5.218
99 31 5.266
71 49 5.382
23  1 8.352
34 13 6.518
69 42 6.301
41 35 2.683
68 27 4.756
79  1 1.662
35  3 3.986
29 13 8.327
15  0 4.040
30 11 7.426
65 17 7.437
67 29 1.634
92 39 2.313
50 10 5.190
91 54 2.875
62  6 2.012
15  1 3.022
86 39 0.199
41 33 4.916
15  6 5.049
76 69 5.029
89 32 3.950
82 54 5.554
55 43 6.942
73 54 3.505
43  3 2.198
73 37 2.973
46 41 1.039
82 70 2.641
63 16 0.391
48 44 1.159
76 22 4.298
37 15 0.221
54 27 6.916
28  9 6.323
63 22 3.853
93 21 0.653
78 43 3.041
61 26 5.402
80 43 6.265
79  4 4.090
58 51 6.566
41 39 1.516
97 19 6.466
72 10 2.827
97 68 4.001
69 33 9.211
96 56 7.050
89  2 2.906
71 16 5.439
12  4 1.595
50  9 4.600
66 65 2.566
94 11 3.685
95 56 6.923
79 35 7.054
69 27 8.430
90 48 1.899
61  9 1.273
81 58 0.301
59 50 7.869
36 15 2.168
69 12 6.979
21  0 0.734
74 44 3.436
98 21 2.116
44  6 9.842
21 11 3.188
67 48 6.431
63 58 1.832
98 54 8.101
81 70 7.712
85 53 2.220
34 11 0.992
71 18 6.650
96 24 9.440
82  7 5.115
66  2 1.299
57 24 5.545
99 56 0.775
87  2 9.469
57 53 1.219
62 18 9.314
75 67 0.267
85 76 3.375
64 59 8.281
78 59 4.082
98 66 2.301
92 38 8.332
62 58 8.259
53 24 9.821
91  7 5.716
71  7 5.456
69 37 1.823
39  3 7.999
32 23 6.627
56 13 9.347
99 14 5.271
28 16 9.310
52 29 7.058
61 11 1.946
80 31 2.226
32  8 4.991
17  1 4.704
56 53 8.325
97 72 8.813
95 18 0.404
85 45 7.512
81  9 3.691
78 75 1.116
47  6 9.022
84 34 8.099
44 15 0.719
94 52 8.756
24 23 10.028
57 42 1.395
92 19 4.786
36  3 1.590
86 63 6.422
69 53 7.890
56 10 3.657
77 66 9.066
46 45 7.028
83 51 7.433
55 32 5.253
44 38 8.738
57 43 9.923
96 60 4.309
81 61 4.551
86 74 0.417
98 67 1.511
66 16 3.286
56 12 3.890
92 30 5.557
64  0 3.812
86  2 4.917
80 23 5.257
92 87 4.102
63 31 4.187
99 66 0.614
57  2 10.068
21  2 9.576
59 36 7.391
90 74 6.233
90 41 9.090
58  5 7.850
95 77 6.983
79 60 7.688
27 21 5.023
82 40 8.931
60 50 1.661
40 14 9.468
23  0 2.752
90  9 6.305
94  6 0.783
11  8 1.481
51  7 5.440
23 21 5.571
60 10 5.196
61 59 9.822
83 73 7.613
67 24 4.032
93 65 3.659
46  0 0.545
33 24 8.186
49 35 0.698
78 35 3.348
77 39 1.411
73 52 8.434
80 74 4.131
87 21 8.641
56 31 6.089
55 18 6.064
72 50 4.689
85  4 9.559
95 46 5.676
57 49 9.279
48 18 8.672
35 13 8.919
57 50 7.392
21  6 5.817
58 13 5.191
34  2 3.574
76 65 4.913
94  3 1.376
94 78 4.439
73 57 6.917
87  7 7.432
65 35 9.339
16 13 1.667
45 34 4.385
48 24 5.947
75 20 5.414
28 13 0.532
65 46 7.298
76 32 5.420
91 44 7.884
82 23 2.245
89 82 1.335
28  6 1.585
76  0 9.574
33 23 7.444
84 76 5.757
57 17 2.683
83 13 1.857
93 50 6.020
 6  0 7.520
66 22 3.581
58 56 9.440
88 70 0.960
87 80 9.565
81 22 10.010
63 30 7.981
49 45 9.798
36 12 6.319
46 32 9.979
79 26 3.635
77 26 8.509
98 39 5.474
72 35 1.002
97  1 8.503
49  4 3.670
75 24 3.467
29 22 5.398
90 50 6.415
43  5 1.735
75 41 7.913
90  5 3.236
97 48 3.581
80 65 6.436
45 31 1.753
29 12 9.592
61 25 1.074
99 19 8.721
53 49 2.220
48 29 6.114
38  3 5.430
94 90 8.296
66 27 6.792
75 35 4.625
12 10 1.518
70  0 2.580
91  6 6.897
24 21 8.070
57 30 4.825
63  1 0.909
85 39 4.888
98 40 0.695
98 55 10.011
79 43 3.952
92 12 5.342
54 47 3.475
62 17 7.072
49  2 3.321
99 17 9.660
 9  3 7.062
83 36 5.504
62 28 7.110
84 67 4.735
36 34 8.085
28 15 5.734
75 66 7.035
94 60 1.702
78 37 1.396
89 54 9.357
19  8 5.222
79 11 3.613
61  1 2.570
38 17 8.342
37  1 4.776
20  2 1.169
64 20 9.574
98 71 7.537
94 25 7.290
77 56 1.065
64  2 1.003
14 13 1.870
87 85 2.043
83 45 4.597
21  1 3.425
86  0 0.670
89 84 6.015
26 15 9.552
70 32 9.893
99 65 4.014
63 23 1.628
84  1 3.088
47 12 5.310
71 38 9.415
24 10 2.058
19 18 10.095
70 54 5.512
55 24 6.824
26 16 6.508
83 74 0.313
57  6 8.757
88 49 3.720
43 29 2.426
16 14 0.486
88 16 8.371
65 10 0.547
70 12 8.460
50 38 9.683
61 57 8.482
91 42 4.796
93 74 7.272
50 16 7.548
83 58 7.730
52 51 5.455
67 17 4.152
32  7 5.026
55 47 1.871
98 23 1.167
65 34 5.195
96 10 5.127
79 45 8.290
84  7 7.508
75  4 0.933
62 39 1.219
68 15 0.476
95 24 6.793
82 42 0.319
35 17 7.084
61 41 2.766
91 74 9.717
53 31 5.512
66 64 6.841
57 19 1.728
36 26 2.969
80 20 4.112
83 50 3.729
96 43 9.342
88 35 8.519
57 29 1.311
78 18 3.764
38 19 4.770
 7  6 5.516
65 53 7.326
94 55 4.077
40 25 4.962
56 52 8.627
98  9 4.374
